country,team,year,events,athletes,age,height,weight,medals,prev_medals,prev_3_medals,GDP,population,GDP_per_capita
Afghanistan,AFG,1964,8,8,22,161,64.2,0,0,0,800000044.4,9712775,82.36575483
Afghanistan,AFG,1968,5,5,23.2,170.2,70,0,0,0,1373333367,10406239,131.9721147
Afghanistan,AFG,1972,8,8,29,168.3,63.8,0,0,0,1595555476,11099703,143.7475828
Afghanistan,AFG,1980,11,11,23.6,168.4,63.2,0,0,0,3641723322,12486631,291.649791
Afghanistan,AFG,2004,5,5,18.6,170.8,64.8,0,0,0,5220825049,23001658,226.9760314
Afghanistan,AFG,2008,4,4,22.5,179.2,62.8,1,0,0,10249770319,26460334,387.3636032
Afghanistan,AFG,2012,6,6,24.8,171.7,60.8,1,1,0.3,20203572960,30415202.8,664.2590251
Afghanistan,AFG,2016,3,3,24.7,173.7,74,0,1,0.7,18019554403,34797245.2,517.8442805
Albania,ALB,1992,8,9,25.3,163,75.2,0,,,652174990.8,3272457,199.2921498
Albania,ALB,1996,7,9,26.8,169,67.5,0,0,0,3199640826,3227239,991.4483638
Albania,ALB,2000,5,5,31.2,167.8,62.9,0,0,0,3480355258,3182021,1093.756219
Albania,ALB,2004,7,7,20.9,172.3,70.7,0,0,0,7184685782,3074572.2,2336.808282
Albania,ALB,2008,12,12,27.2,173.4,74.8,0,0,0,12881352878,2967123.4,4341.360686
Albania,ALB,2012,9,10,25.7,176.8,80.2,0,0,0,12319834233,2901031.8,4246.707752
Albania,ALB,2016,6,6,23.7,176.2,67.2,0,0,0,11861199831,2879354.6,4119.395309
Algeria,ALG,1964,7,7,26,175,65,0,,,2909316433,10829837.2,268.6389813
Algeria,ALG,1968,9,9,25.8,169.8,61.2,0,0,0,3852147024,12807222.4,300.7792715
Algeria,ALG,1972,5,7,22.7,173.2,63.5,0,0,0,6766744028,14784607.6,457.6884427
Algeria,ALG,1980,28,63,23.4,175.4,69.2,0,0,0,42345829090,18739378,2259.724367
Algeria,ALG,1984,17,33,24.3,176.8,73.3,2,0,0,53698548298,21450856.4,2503.328879
Algeria,ALG,1988,29,45,24.6,176.2,72.8,0,2,0.7,59089400190,24162334.8,2445.516987
Algeria,ALG,1992,27,36,23.8,170.4,63,2,0,0.7,48003133347,26569383.4,1806.708595
Algeria,ALG,1996,29,47,24.2,176,70.2,3,2,1.3,46941553940,28672002.2,1637.191348
Algeria,ALG,2000,42,51,24.9,174.3,67.9,5,3,1.7,54790398813,30774621,1780.376071
Algeria,ALG,2004,57,71,25.1,173.6,67.6,0,5,3.3,85332581189,32807310.2,2601.02339
Algeria,ALG,2008,44,57,25.2,177,70.8,2,0,2.7,1.71E+11,34839999.4,4908.180337
Algeria,ALG,2012,29,39,24.8,174.3,66.9,1,2,2.3,2.09E+11,37331068,5600.134451
Algeria,ALG,2016,48,74,24,174,68.4,2,1,1,1.60E+11,40324856.4,3968.619216
Andorra,AND,1976,2,3,28.3,174.7,78,0,,,227284061.5,29310.6,7754.329884
Andorra,AND,1980,1,2,31,180.5,85.5,0,0,0,446377571.5,35611,12534.82271
Andorra,AND,1984,1,2,35,180.5,85.5,0,0,0,330073057,42794.2,7713.032537
Andorra,AND,1988,3,4,22.2,170.8,64.5,0,0,0,721425971.8,49977.4,14435.04408
Andorra,AND,1992,5,8,23.1,171.2,63.7,0,0,0,1209992650,56074.6,21578.26627
Andorra,AND,1996,7,8,24.4,172.4,64.4,0,0,0,1224023416,61085.8,20037.77336
Andorra,AND,2000,5,5,31,175,69.8,0,0,0,1429048106,66097,21620.46849
Andorra,AND,2004,6,6,29.7,173.3,68.5,0,0,0,2895047587,68265.8,42408.46203
Andorra,AND,2008,5,5,26.6,169,61.4,0,0,0,4085781939,70434.6,58008.16557
Andorra,AND,2012,6,6,32,173.4,68,0,0,0,3188652765,71609.8,44528.16186
Andorra,AND,2016,4,4,26,171.5,66.2,0,0,0,2896610480,72936.8,39713.97813
Angola,ANG,1980,14,17,17.4,171.7,62.5,0,,,5930503401,8330047,711.9411692
Angola,ANG,1988,27,33,20.1,169.2,61.3,0,0,0,8769836769,11128919.8,788.0222813
Angola,ANG,1992,21,33,23.9,182.3,76.8,0,0,0,15114352005,12741722.8,1186.209451
Angola,ANG,1996,8,30,25.5,180.6,76.8,0,0,0,7526963964,14567892.4,516.681738
Angola,ANG,2000,7,30,26.8,182.8,80.5,0,0,0,9129594819,16394062,556.8842438
Angola,ANG,2004,5,30,26.7,182.9,81.5,0,0,0,23552057820,19182111.2,1227.813642
Angola,ANG,2008,8,33,27.2,182.5,79.1,0,0,0,88538664888,21970160.4,4029.950773
Angola,ANG,2012,10,35,26.4,174.4,70.1,0,0,0,1.25E+11,25269599.4,4946.576241
Angola,ANG,2016,10,26,27.5,174.5,73.3,0,0,0,49840491178,29187873.8,1707.575259
Antigua and Barbuda,ANT,1976,11,17,23.2,178.6,71.6,0,,,0,64739.2,0
Antigua and Barbuda,ANT,1984,17,27,21.1,176.5,64.8,0,0,0,208372846.3,64264,3242.450615
Antigua and Barbuda,ANT,1988,19,25,23.3,177.8,65.2,0,0,0,398637727.8,63640,6263.949211
Antigua and Barbuda,ANT,1992,15,18,25.4,172.3,63.7,0,0,0,499281481.5,65673.4,7602.491747
Antigua and Barbuda,ANT,1996,9,19,24.4,167.5,63.3,0,0,0,633729629.6,70364.2,9006.421299
Antigua and Barbuda,ANT,2000,4,4,29.5,170.2,69.5,0,0,0,826370370.4,75055,11010.19746
Antigua and Barbuda,ANT,2004,5,5,20,169,59.8,0,0,0,919729629.6,79311,11596.49518
Antigua and Barbuda,ANT,2008,5,5,22.2,176.8,68.4,0,0,0,1370070370,83567,16394.87322
Antigua and Barbuda,ANT,2012,4,4,23,174.2,68,0,0,0,1199948148,87393.4,13730.4207
Antigua and Barbuda,ANT,2016,5,9,22.2,176.8,71.6,0,0,0,1436585185,90485.6,15876.39564
Argentina,ARG,1964,78,148,27.5,175.3,74,1,4,4,25605249382,21333603,1200.230893
Argentina,ARG,1968,60,132,26.1,175.5,73.1,2,1,2.3,26436857247,23006403,1149.108674
Argentina,ARG,1972,62,123,26.3,175.7,73.8,1,2,2.3,34733000536,24679203,1407.379344
Argentina,ARG,1976,50,106,24.2,175.3,73.9,0,1,1.3,51169499892,26352003,1941.768901
Argentina,ARG,1984,70,115,24.9,177.6,73.5,0,0,1,1.17E+11,29869944.6,3914.135147
Argentina,ARG,1988,53,134,25,178.7,73.4,13,0,0.3,1.27E+11,31715086.2,4000.93505
Argentina,ARG,1992,68,111,24.3,176.1,73.5,2,13,4.3,2.29E+11,33524280.4,6824.277726
Argentina,ARG,1996,102,221,24.5,177.9,75.7,20,2,5,2.72E+11,35297527.2,7710.171833
Argentina,ARG,2000,98,165,25,175.8,72.5,20,20,11.7,2.84E+11,37070774,7666.524578
Argentina,ARG,2004,86,179,27,177.4,75.2,49,20,14,1.65E+11,38682513.6,4256.652029
Argentina,ARG,2008,71,145,27.1,176.9,74.4,51,49,29.7,3.62E+11,40294253.2,8972.942077
Argentina,ARG,2012,66,148,27.4,180,78.4,19,51,40,5.46E+11,41962899.8,13011.0646
Argentina,ARG,2016,80,232,27.5,178.7,75.2,22,19,39.7,5.58E+11,43612858.4,12783.66107
Armenia,ARM,1996,36,38,24,169,71.8,2,,,1596968946,3323729.4,480.4750188
Armenia,ARM,2000,26,26,25.6,174.2,75.3,1,2,2,1911563669,3168523,603.2980253
Armenia,ARM,2004,19,19,26.7,173.8,79.3,0,1,1.5,3576615240,3079631,1161.377853
Armenia,ARM,2008,24,26,24.9,173.7,74.5,6,0,1,11662040704,2990739,3899.384301
Armenia,ARM,2012,30,31,24.9,173.3,73.2,3,6,2.3,10619320693,2919213.8,3637.733109
Armenia,ARM,2016,32,34,24.5,170.3,73.6,4,3,3,10546136240,2863997.6,3682.313225
Aruba,ARU,1988,10,12,27.8,171,68.2,0,,,596648044.7,65023,9175.953812
Aruba,ARU,1992,4,5,28,171.2,67.2,0,0,0,958659217.9,70389.8,13619.29169
Aruba,ARU,1996,3,3,23.3,175.3,79.3,0,0,0,1379888268,79745.4,17303.67229
Aruba,ARU,2000,5,5,19.6,170.2,61.6,0,0,0,1873184358,89101,21023.15752
Aruba,ARU,2004,4,4,22,175.8,74,0,0,0,2254748603,93597,24089.96659
Aruba,ARU,2008,2,2,25.5,186.5,80.5,0,0,0,2843016760,98093,28982.87095
Aruba,ARU,2012,4,4,23.8,173,87,0,0,0,2615083799,101907.4,25661.37296
Aruba,ARU,2016,6,7,24,174.3,68.7,0,0,0,2983798883,104722.6,28492.40644
American Samoa,ASA,1988,6,6,27,179.5,97.2,0,,,0,#N/A,#N/A
American Samoa,ASA,1996,6,7,30.9,168,91.2,0,0,0,0,#N/A,#N/A
American Samoa,ASA,2000,4,4,27,179.8,103,0,0,0,0,#N/A,#N/A
American Samoa,ASA,2004,3,3,30,172,91.7,0,0,0,509000000,#N/A,#N/A
American Samoa,ASA,2008,4,4,23.5,170,59,0,0,0,560000000,#N/A,#N/A
American Samoa,ASA,2012,4,4,22,171,79.8,0,0,0,640000000,#N/A,#N/A
American Samoa,ASA,2016,4,4,25.2,176.8,75.2,0,0,0,671000000,#N/A,#N/A
Australia,AUS,1964,133,392,24.4,174.5,70.2,44,46,44.3,23801123811,11328261.2,2101.039461
Australia,AUS,1968,105,224,23.1,175,69.7,51,44,52.3,32714085238,12172776.4,2687.479353
Australia,AUS,1972,110,266,23.3,175.9,70.9,20,51,47,52042056075,13017291.6,3997.917361
Australia,AUS,1976,115,274,24,177,71.2,23,20,38.3,1.05E+11,13861806.8,7579.170704
Australia,AUS,1980,92,190,22.5,178.3,73.2,13,23,31.3,1.50E+11,14706322,10198.6071
Australia,AUS,1984,137,337,23.8,177.5,72.6,52,13,18.7,1.94E+11,15642994.4,12370.84122
Australia,AUS,1988,145,339,24.9,177.7,72.9,35,52,29.3,2.36E+11,16579666.8,14243.53112
Australia,AUS,1992,153,390,23.8,178.3,73.9,57,35,33.3,3.26E+11,17441995,18663.69071
Australia,AUS,1996,211,550,24.9,175.9,71.8,132,57,48,4.01E+11,18229979,22013.79387
Australia,AUS,2000,270,788,25.8,177,72.9,183,132,74.7,4.16E+11,19017963,21865.90646
Australia,AUS,2004,219,601,25.8,177.5,73.6,157,183,124,6.14E+11,20218445,30384.43362
Australia,AUS,2008,219,570,26.1,177,72.4,149,157,157.3,1.06E+12,21418927,49287.71642
Australia,AUS,2012,208,514,26.3,178.4,73.4,114,149,163,1.55E+12,22739595.2,68028.91548
Australia,AUS,2016,194,518,26.6,178.6,73.1,82,114,140,1.21E+12,24190199,49878.05185
Austria,AUT,1964,54,82,24.8,175.8,73.6,0,3,3.3,9169983886,7415945,1236.52264
Austria,AUT,1968,37,59,25.9,178.4,75,5,0,2.3,12440625313,7448849,1670.140623
Austria,AUT,1972,68,143,26.3,177.4,73.9,3,5,2.7,22059612477,7481753,2948.455058
Austria,AUT,1976,44,73,27.3,178.4,76.2,1,3,2.7,42959976222,7514657,5716.82463
Austria,AUT,1980,51,92,24.6,177.6,73.4,5,1,3,82058912997,7547561,10872.24244
Austria,AUT,1984,72,130,25.2,176.9,73.1,3,5,3,67985344887,7600028.2,8945.406925
Austria,AUT,1988,62,96,27,180.5,77.3,1,3,3,1.33E+11,7652495.4,17424.25092
Austria,AUT,1992,68,127,26.2,178.8,74.1,6,1,3,1.95E+11,7745068.8,25187.38116
Austria,AUT,1996,53,92,27.5,179.2,73.1,3,6,3.3,2.37E+11,7877748.4,30116.60032
Austria,AUT,2000,68,114,26.3,179.5,72.4,4,3,3.3,1.97E+11,8010428,24629.14591
